id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,big_diff
1,20,44.488503,40,3.43792,12.663756,0.119521,0.103889,0.026852,1,1,262.7,307.261497,-140,3.43792,45.589522,0.443251,0.208581,0.343418,1,1,0.1,0.458825,0
2,20,44.828281,40,3.478867,13.865883,0.04299,0.103777,0.035169,1,1,262.7,306.921719,-140,3.478867,49.917179,0.359912,0.241464,0.043997,1,1,0.15,0.573885,0
3,20,46.190326,78.712884,1.982663,16.249955,0.156095,0.082359,0.213189,1,1,262.7,305.559674,-101.287116,1.982663,58.499838,1.001694,0.180277,0.62187,1,1,0.1,3.265966,0
4,20,46.296194,76.99331,1.983902,16.258393,0.056263,0.081631,0.043184,1,1,262.7,305.453806,-103.00669,1.983902,58.530215,1.14924,0.238199,0.415922,1,1,0.15,3.079092,0
5,20,47.489238,41.937103,1.562024,11.864869,0.648463,0.13938,0,1,1,262.7,304.260762,-138.062897,1.562024,42.713528,0.429032,0.180447,0.409732,1,1,0.1,0.361628,0
6,20,47.754106,67.604024,1,16.734656,0.116149,0.089224,0,1,1,262.7,303.995894,-112.395976,1,60.244762,1.041895,0.258867,2.543763,1,1,0.1,1.763778,0
7,20,48,117.089002,2.077485,18.890716,1.071244,0.072175,0,1,1,262.7,303.75,-62.910998,2.077485,68.006578,0.318543,4,0.943352,0,1,0.65,1.087174,0
8,20.0016,44.825384,40.278814,3.479193,13.874704,0.058792,0.100675,0.056331,1,1,262.6984,306.924616,-139.721186,3.479193,49.948934,0.601195,0.302499,0.065019,1,1,0.1,0.593022,0
9,20.022128,45.13789,50.387391,3.080751,13.848245,0.352665,0.083602,0.045191,1,1,262.677872,306.61211,-129.612609,3.080751,49.853682,0.370155,0.180476,0.459701,1,1,0.15,1.41419,0
10,20.31775,38.966102,61.458103,4.807199,11.02276,0.049256,4,0.090751,0,1,262.38225,312.783898,-118.541897,4.807199,39.681936,0.889693,4,0.182185,0,1,0.5,3.951473,0
11,20.339434,45.712979,125.29605,2.63865,12.768944,0.011678,0.090569,0.097744,1,1,262.360566,306.037021,-54.70395,2.63865,45.968198,1.200275,0.302453,0.802942,1,1,0.15,2.197742,0
12,20.339611,45.743476,125.284509,2.622004,12.816378,0.028528,0.087606,0.02095,1,1,262.360389,306.006524,-54.715491,2.622004,46.138961,0.989966,0.302436,0.826786,1,1,0.25,2.185696,0
13,20.870268,45.984255,118.017861,3.045383,19.608928,0.147451,0.052948,0.13953,0,1,261.829732,305.765745,-61.982139,3.045383,70.592141,1.443048,4,0.301663,0,1,0.4,2.671422,0
14,20.889154,47.85641,65.802443,1,16.704839,0.236793,0.063199,0,1,1,261.810846,303.89359,-114.197557,1,60.13742,0.939556,0.215314,0.100096,1,1,0.1,1.600902,0
15,20.913919,38.830234,61.59416,4.704614,11.022707,0.083966,4,0.002017,0,1,261.786081,312.919766,-118.40584,4.704614,39.681745,0.886464,4,0.367483,0,1,0.35,4.156855,0
16,21.116215,45.777727,115.190917,3.154986,19.757615,0.153863,0.060897,0.147247,0,1,261.583785,305.972273,-64.809083,3.154986,71.127414,1.241863,4,1.607087,0,1,0.25,2.963259,0
17,21.182902,47.766463,66.128714,1,16.694884,0.163996,0.065282,0,1,1,261.517098,303.983537,-113.871286,1,60.101582,0.928903,0.25888,0.696449,1,1,0.15,1.689754,0
18,21.183116,47.768015,66.130124,1,16.695744,0.165282,0.065212,0,1,1,261.516884,303.981985,-113.869876,1,60.104678,1.171041,0.258885,0.697544,1,1,0.2,1.688256,0
19,21.344168,45.768481,116.040334,3.14572,19.618602,0.152008,0.05632,0.217953,0,1,261.355832,305.981519,-63.959666,3.14572,70.626967,1.352476,4,0.916243,0,1,0.35,2.912859,0
20,21.354859,45.958798,117.50266,3.178355,19.637685,0.047577,4,0.081563,0,1,261.345141,305.791202,-62.49734,3.178355,70.695666,1.573612,4,0.966659,0,1,0.15,2.640051,0
21,21.406335,47.438336,145.700276,3.181143,25,0.108254,0.038918,0,0,1,261.293665,304.311664,-34.299724,3.181143,90,1.207269,4,0.903794,0,1,0.25,0.460147,0
22,21.428687,47.431674,145.688314,3.163161,25,0.023044,4,0,0,1,261.271313,304.318326,-34.311686,3.163161,90,1.229719,4,0.867825,0,1,0.2,0.478157,0
23,21.477102,47.435295,145.555711,3.180146,25,0.056744,0.041631,0,0,1,261.222898,304.314705,-34.444289,3.180146,90,1.22099,4,0.816505,0,1,0.25,0.463538,0
24,21.563933,47.438154,145.730823,3.18124,24.963653,0.046925,0.045471,0,0,1,261.136067,304.311846,-34.269177,3.18124,89.869151,1.257335,4,0.694931,0,1,0.3,0.445553,0
25,21.566073,47.438085,145.730811,3.181369,24.963032,0.047702,0.045566,0,0,1,261.133927,304.311915,-34.269189,3.181369,89.866915,1.253839,4,0.691977,0,1,0.3,0.44492,0
26,21.668462,45.088832,53.704073,3.423869,14.67771,1.015996,0.07867,0.054939,1,1,261.031538,306.661168,-126.295927,3.423869,52.839756,1.014254,0.208617,0.507567,1,0,0.2,1.20892,0
27,21.694571,45.089619,53.682372,3.428593,14.671309,1.0316,0.078778,0.024575,1,1,261.005429,306.660381,-126.317628,3.428593,52.816712,1.043814,0.208618,0.44367,1,0,0.25,1.194013,0
28,21.725422,45.091874,53.37234,3.422719,14.733212,0.995453,0.078983,0.051891,1,1,260.974578,306.658126,-126.62766,3.422719,53.039563,1.006118,0.2415,0.4567,1,0,0.1,1.189816,0
29,22.337585,43.318198,123.8232,3.596264,10,0.105697,0.108539,0.061763,1,1,260.362415,308.431802,-56.1768,3.596264,36,1.414429,4,0.850803,0,1,0.55,3.201252,0
30,22.526482,47.477055,152.82512,3.503353,25,0.034432,4,0,0,1,260.173518,304.272945,-27.17488,3.503353,90,1.613379,4,0.985367,0,1,0.45,0.121177,0
31,24.176343,46.975992,141.855904,3.200737,24.25957,0.063295,0.757994,0,0,1,258.523657,304.774008,-38.144096,3.200737,87.334452,1.531073,4,0.768601,0,1,0.5,0.701661,0
32,24.419217,46.969391,141.94359,3.201349,24.282693,0.024677,0.766555,0,0,1,258.280783,304.780609,-38.05641,3.201349,87.417695,1.216404,4,0.478667,0,1,0.35,0.686179,0
33,24.920576,45.563014,110.820637,3.308424,21.939028,0.122764,0.044981,0.135236,0,1,257.779424,306.186986,-69.179363,3.308424,78.980501,1.010493,0.136076,3.438211,1,1,0.15,3.26291,0
34,24.996462,45.550483,110.617702,3.162651,22.172064,0.099899,0.0491,0.083312,0,1,257.703538,306.199517,-69.382298,3.162651,79.81943,1.140151,4,1.258332,0,1,0.1,3.338609,0
