x_0,y_0,theta,v_p,v_c,OF1,OF3,OF2,Simulator,SafeViol
20,44.488503,40,3.43792,12.663756,0.119521,0.103889,0.026852,PreScan,False
20,44.828281,40,3.478867,13.865883,0.04299,0.103777,0.035169,PreScan,False
20,46.190326,78.712884,1.982663,16.249955,0.156095,0.082359,0.213189,PreScan,False
20,46.296194,76.99331,1.983902,16.258393,0.056263,0.081631,0.043184,PreScan,False
20,47.489238,41.937103,1.562024,11.864869,0.648463,0.13938,0,PreScan,False
20,47.754106,67.604024,1,16.734656,0.116149,0.089224,0,PreScan,False
20,48,117.089002,2.077485,18.890716,1.071244,0.072175,0,PreScan,False
20.0016,44.825384,40.278814,3.479193,13.874704,0.058792,0.100675,0.056331,PreScan,False
20.022128,45.13789,50.387391,3.080751,13.848245,0.352665,0.083602,0.045191,PreScan,False
20.31775,38.966102,61.458103,4.807199,11.02276,0.049256,4,0.090751,PreScan,True
20.339434,45.712979,125.29605,2.63865,12.768944,0.011678,0.090569,0.097744,PreScan,False
20.339611,45.743476,125.284509,2.622004,12.816378,0.028528,0.087606,0.02095,PreScan,False
20.870268,45.984255,118.017861,3.045383,19.608928,0.147451,0.052948,0.13953,PreScan,True
20.889154,47.85641,65.802443,1,16.704839,0.236793,0.063199,0,PreScan,False
20.913919,38.830234,61.59416,4.704614,11.022707,0.083966,4,0.002017,PreScan,True
21.116215,45.777727,115.190917,3.154986,19.757615,0.153863,0.060897,0.147247,PreScan,True
21.182902,47.766463,66.128714,1,16.694884,0.163996,0.065282,0,PreScan,False
21.183116,47.768015,66.130124,1,16.695744,0.165282,0.065212,0,PreScan,False
21.344168,45.768481,116.040334,3.14572,19.618602,0.152008,0.05632,0.217953,PreScan,True
21.354859,45.958798,117.50266,3.178355,19.637685,0.047577,4,0.081563,PreScan,True
21.406335,47.438336,145.700276,3.181143,25,0.108254,0.038918,0,PreScan,True
21.428687,47.431674,145.688314,3.163161,25,0.023044,4,0,PreScan,True
21.477102,47.435295,145.555711,3.180146,25,0.056744,0.041631,0,PreScan,True
21.563933,47.438154,145.730823,3.18124,24.963653,0.046925,0.045471,0,PreScan,True
21.566073,47.438085,145.730811,3.181369,24.963032,0.047702,0.045566,0,PreScan,True
21.668462,45.088832,53.704073,3.423869,14.67771,1.015996,0.07867,0.054939,PreScan,False
21.694571,45.089619,53.682372,3.428593,14.671309,1.0316,0.078778,0.024575,PreScan,False
21.725422,45.091874,53.37234,3.422719,14.733212,0.995453,0.078983,0.051891,PreScan,False
22.337585,43.318198,123.8232,3.596264,10,0.105697,0.108539,0.061763,PreScan,False
22.526482,47.477055,152.82512,3.503353,25,0.034432,4,0,PreScan,True
24.176343,46.975992,141.855904,3.200737,24.25957,0.063295,0.757994,0,PreScan,True
24.419217,46.969391,141.94359,3.201349,24.282693,0.024677,0.766555,0,PreScan,True
24.920576,45.563014,110.820637,3.308424,21.939028,0.122764,0.044981,0.135236,PreScan,True
24.996462,45.550483,110.617702,3.162651,22.172064,0.099899,0.0491,0.083312,PreScan,True
25.325585,43.225367,130.848923,3.633278,10.190444,0.055198,4,0.033232,PreScan,True
25.344091,43.214216,130.808186,3.632873,10.162027,0.006393,4,0.043206,PreScan,True
25.498938,43.581798,93.542224,4.370916,21.120453,0.047339,0.047252,0.101643,PreScan,True
27.201566,44.42904,100.844679,4.986897,21.770987,1.486044,0.068464,0,PreScan,True
27.239495,44.457162,100.593733,4.87925,21.784272,1.410556,0.078231,0,PreScan,True
27.767813,42.95375,129.148815,3.699896,10.812929,0.232958,4,0.007431,PreScan,True
28.05441,42.947449,110.621114,2.425047,10.044054,0.047278,0.104653,0.101015,PreScan,False
28.061294,41.574125,61.648836,4.536047,17.77359,0.068732,0.079929,0.053847,PreScan,False
28.061444,41.564799,61.469624,4.56704,17.826352,0.015986,0.076797,0.115487,PreScan,False
28.305678,48,153.202422,1.715681,20.246454,0.231007,0.048313,0,PreScan,True
28.319772,48,153.273368,1.760652,20.24176,0.240661,0.048634,0,PreScan,True
28.367666,48,153.172503,1.760561,20.241633,0.237744,0.049127,0,PreScan,True
29.113047,43.000311,82.611091,4.231892,20.623973,0.305585,0.050771,0.417246,PreScan,True
29.139419,43.012012,82.609974,4.234485,20.631805,0.323331,0.051205,0.267297,PreScan,True
29.164223,43.00533,82.630823,4.235354,20.492649,0.362612,0.049904,0.599096,PreScan,True
29.437268,44.866838,45.109757,3.701219,22.757443,0.097418,0.057953,0.133879,PreScan,True
29.449357,44.883872,45.124607,3.694804,22.751521,0.092804,0.058102,0.115772,PreScan,True
29.464295,47.963648,159.99532,1.843771,20.162942,0.021899,0.139287,0,PreScan,True
29.494774,44.814436,44.610638,3.740441,22.7744,0.130086,0.064145,0.005783,PreScan,True
