sivic,prescan
0,0.656686222
0,0.084131361
0,1
0,0.795328861
0,0.783492301
0.106716435,1
0,0
0.309483016,0.124329772
0,0.879043361
0,0
1,1
1,1
1,0
1,0.191404248
1,0
0,0
0,1
0,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0.97057305
0,0.848388775
0.054765602,0.873304829
0,0
0,0
0,0
0,0
0,1
0,0
0.860502604,0
1,0
1,0
1,0
0.350907151,0
0.42342568,0.608519646
0.226694024,0
0.534111856,0.618292935
1,0.747175671
0.556683545,0
0.861013164,0
0.746705268,0
0,1
0,1
1,0.345960272
0.311205914,1
0.873239814,1
0.380848484,0
0.380083602,1
0.342504914,1
0.484832376,1
0.198781542,1
0.435095878,1
0.289980419,1
0.219727855,0.935992703
0.897094593,0.409783997
0.421249589,1
1,1
0.90872081,0
0.123545767,0.232128516
0.584024277,0.228919833
0.909252404,1
0.346795906,0
0.400045128,0
0.01812772,0.446161819
0,0
0.72981857,1
0.782897605,0.734788395
1,1
1,0
0.084519539,1
0,1
0,0.663487942
0,1
0,0
0,0
0,0.204870008
0,0.17533215
0,0.191035192
0.133709146,0.103859598
0,0
1,0
1,0.425433497
1,0.485337199
1,0.309048945
1,1
0,1
0,1
1,1
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0.749521948
1,1
1,0
1,0.888026909
1,1
1,1
1,0
1,0.932252427
0,0.658424418
1,0.803272168
0,1
0,1
0.624325947,1
1,0.239523019
0,0
0,0.443538271
0.526336824,0
0.511752423,0.676578909
0.518139193,0.880775821
0.25486083,0.475655696
0.24169911,0
0.235239676,0
0.151716397,1
0.187629552,1
1,1
0,1
0.16162354,0
1,0
0,0
0,0.618644781
0,0
1,0
0,0
0,0.004334973
0.660623456,0
0,0
0,0
0,0
0,0
0,0
0.657820161,0
0.445588157,1
0,0
0.038548176,0
0.274686589,1
0.626976266,1
0.590049641,1
0,0
0.588691974,0.63650288
0,1
0.582534668,0.327989353
0.581337627,0.427479559
0.358328425,0.26740873
1,1
0.025093889,0
0.301080779,0.708128409
0.736209165,0
0.134508448,0
0.01118641,1
0.955717116,0
0.369088413,0
0,1
0.177156396,1
0.037062391,1
0,1
1,1
0.80301402,1
0,1
1,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.356169544
0,0
0,0
0,0
0,0.361929111
0,0
0.023910233,0
0.023172122,0
0.974164174,0
0.02339585,0
0,0
0,0.673987869
0,1
0.399523096,1
0,0.819981031
0,0
0.279903089,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.272575513
0,1
0,1
0,0.301000467
0,1
0,0
0,0
0,0
0,0
0,0.547466708
0,1
0,1
0,1
0,1
0,1
0,0.397310672
0.186784357,0.397515279
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.712870681
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.962207146,0
0.672356757,0
0.512414046,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0.885292453
0,0.403441207
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.323520526,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.110581005
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
