id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
1,20,48,80.30703,1.45468,14.6245,1.199936,0.137471,0,1,1,262.7,303.75,-99.692975,1.454679,52.648193,0.315596,0.058459,0,1,1,0.15,1.628477,0
2,20,48,85.98182,1,8.42144,1.591298,0.340151,0,1,0,262.7,303.75,-94.018177,1,30.317168,0.330771,0.093785,0,1,1,0.3,1.811169,0
3,20,48,93.40493,1,7.39216,1.877765,0.417118,0,1,0,262.7,303.75,-86.595069,1,26.611782,0.129172,1.28948,0,1,1,0.25,1.858383,0
4,20.20139,48,80.2466,1.45397,14.58183,1.224959,0.148677,0,1,1,262.498606,303.75,-99.753396,1.453971,52.494589,0.451486,0.23829,0,1,1,0.2,1.621383,0
5,20.27581,41.63575,100.65989,4.52391,7.5128,3.735132,0.460063,0.051888,1,0,262.424189,310.114253,-79.340108,4.523909,27.046084,0.382148,4,0.32458,0,1,0.55,6.928484,1
6,20.28633,41.77588,100.44084,4.36448,7.51517,3.539104,0.426467,0.154318,1,0,262.413672,309.974124,-79.559164,4.364476,27.054629,0.061509,0.093773,0.055808,1,1,0.25,6.849907,0
7,20.29235,41.64091,100.73394,4.41147,7.51123,3.428157,0.426747,0.074541,1,0,262.407651,310.109089,-79.266057,4.411466,27.040434,0.017161,4,0.164084,0,1,0.2,6.934926,1
8,20.29273,41.63956,100.73021,4.41008,7.51123,3.427019,0.426727,0.068801,1,0,262.407269,310.110444,-79.269794,4.410082,27.040434,0.018502,0.093767,0.161846,1,1,0.25,6.937033,0
9,20.41492,48,94.51868,1,7.67033,1.825965,0.378292,0,1,0,262.285084,303.75,-85.481325,1,27.613173,0.232604,0.105119,0,1,1,0.3,1.814467,0
10,21.78103,41.01647,89.81448,3.97379,7.40368,4.21075,0.48945,0.305052,1,0,260.91897,310.73353,-90.185524,3.973785,26.653235,0.110955,4,5.295584,0,1,0.2,8.901757,1
11,21.96281,45.5323,93.43858,2.02375,7.62066,2.739186,0.409531,0,1,0,260.737193,306.217705,-86.561421,2.023752,27.434389,0.154895,0.141951,0.898769,1,1,0.25,4.190873,0
12,21.96598,45.60126,93.30674,2.03253,7.60983,3.019244,0.434572,0,1,0,260.734022,306.148742,-86.693264,2.032531,27.395393,0.194018,0.141953,0.598598,1,1,0.15,4.131273,0
13,22.38116,46.68637,83.60046,2.63583,20.60962,0.781616,0.063585,0,0,1,260.318841,305.063632,-96.399542,2.635828,74.194635,0.419272,0.233621,2.952596,1,1,0.35,2.947908,0
14,23.24803,46.67499,86.32451,2.67331,20.39965,0.948341,0.066913,0,0,1,259.451967,305.07501,-93.675493,2.67331,73.438751,0.095849,0.092124,2.817129,1,1,0.15,3.100429,0
15,23.26289,46.69393,86.2971,2.67101,20.40695,0.965229,0.068346,0,0,1,259.437114,305.056071,-93.702899,2.671012,73.465012,0.102627,0.292669,2.798255,1,1,0.15,3.079965,0
16,23.29285,46.67297,85.53358,2.64132,19.57971,1.044914,0.071823,0,0,1,259.407151,305.077032,-94.466421,2.641321,70.486949,0.189879,4,2.738566,0,1,0.2,3.044217,1
17,23.58998,48,81.09669,1,14.80368,0.797192,0.099198,0,1,1,259.110019,303.75,-98.903312,1,53.293264,0.168377,0.051283,0,1,1,0.25,1.735699,0
18,24.37819,48,80.34738,1.0079,14.93165,0.846856,0.132963,0,1,1,258.321814,303.75,-99.65262,1.007899,53.753924,0.026909,0.058461,0,1,1,0.25,1.704305,0
19,24.97821,44.92828,88.14782,3.84475,21.48309,0.632537,0.067511,0.06205,0,1,257.721794,306.821719,-91.852181,3.844752,77.339118,0.503218,0.034052,3.539563,1,1,0.15,4.895777,0
20,25.24515,48,134.51285,1.19624,10.00136,1.192129,0.211194,0,1,1,257.454853,303.75,-45.487148,1.196236,36.004892,0.32245,4,0,0,1,0.65,0.050901,1
21,25.46783,46.9332,82.23759,1.4304,13.72357,0.808643,0.098728,0,1,1,257.232166,304.816803,-97.762409,1.430397,49.404835,0.113324,0.23829,2.483259,1,1,0.2,2.666778,0
